Registrikood;Nimi;Tööjõumaksud Ja Maksed;Tootajaid;YearQ
74000725;KAITSELIIT;1920732;867;18i
10156832;AS HKSCAN ESTONIA;1919086;1142;18i
10178070;ELISA EESTI AS;1917640;678;18i
11575838;EESTI RAUDTEE AS;1902169;800;18iii
10178070;ELISA EESTI AS;1888177;688;18ii
10043950;NORMA AS;1880777;822;18iii
74001086;EESTI MAAÜLIKOOL;1880236;947;18iv
10156832;AS HKSCAN ESTONIA;1876596;1124;18iv
10633284;ENEFIT SOLUTIONS AS;1872471;915;18ii
10238429;TALLINK GRUPP AS;1855846;561;18i
14270594;KÜHNE + NAGEL IT SERVICE CENTRE AS;1853712;392;18ii
10043950;NORMA AS;1849492;827;18i
11511985;STORA ENSO EESTI AS;1841161;667;18iii
10156832;AS HKSCAN ESTONIA;1839542;1152;18ii
12203636;MERKO EHITUS EESTI AS;1823253;300;18ii
12461545;TRANSFERWISE LTD EESTI FILIAAL;1811716;606;18ii
90006590;TALLINNA LASTEHAIGLA SIHTASUTUS;1792426;834;18iii
11511985;STORA ENSO EESTI AS;1792170;674;18iv
70000740;HARIDUS- JA TEADUSMINISTEERIUM;1790214;260;18iv
10238429;TALLINK GRUPP AS;1788808;551;18iv
10633284;ENEFIT SOLUTIONS AS;1777544;901;18iii
74001086;EESTI MAAÜLIKOOL;1771895;988;18iii
10043950;NORMA AS;1766382;802;18iv
10043950;NORMA AS;1758736;833;18ii
11511985;STORA ENSO EESTI AS;1746188;637;18ii
11575838;EESTI RAUDTEE AS;1739467;806;18i
11575838;EESTI RAUDTEE AS;1728287;783;18iv
10238429;TALLINK GRUPP AS;1726709;565;18ii
14270594;KÜHNE + NAGEL IT SERVICE CENTRE AS;1704107;366;18i
10854884;VKG KAEVANDUSED OÜ;1701273;533;18iii
74001086;EESTI MAAÜLIKOOL;1698404;954;18ii
10341618;LENNULIIKLUSTEENINDUSE AS;1687855;205;18ii
75026106;RAE VALLAVALITSUS;1683296;87;18iii
74001086;EESTI MAAÜLIKOOL;1682923;955;18i
11958539;PIPEDRIVE OÜ;1645938;320;18iv
10854884;VKG KAEVANDUSED OÜ;1645823;537;18ii
12461545;TRANSFERWISE LTD EESTI FILIAAL;1643235;542;18i
75026106;RAE VALLAVALITSUS;1641844;88;18i
10854884;VKG KAEVANDUSED OÜ;1632783;538;18i
10633284;ENEFIT SOLUTIONS AS;1608164;911;18iv
90004585;VILJANDI HAIGLA SIHTASUTUS;1605215;907;18iii
10528765;VKG OIL AS;1598476;679;18iii
10854884;VKG KAEVANDUSED OÜ;1591587;533;18iv
90006590;TALLINNA LASTEHAIGLA SIHTASUTUS;1590511;835;18ii
10180925;CIRCLE K EESTI AKTSIASELTS;1589789;776;18iii
90006590;TALLINNA LASTEHAIGLA SIHTASUTUS;1581591;831;18i
90008287;INNOVE SIHTASUTUS;1580023;813;18iii
90004585;VILJANDI HAIGLA SIHTASUTUS;1570180;930;18iv
74000174;EESTI PANK;1569588;337;18iii
74000101;RIIGIKOGU KANTSELEI;1561979;362;18iv
70005967;PÕLLUMAJANDUSE REGISTRITE JA INFORMATSIOONI AMET;1558396;380;18i
11511985;STORA ENSO EESTI AS;1553477;609;18i
11958539;PIPEDRIVE OÜ;1551876;298;18iii
70000740;HARIDUS- JA TEADUSMINISTEERIUM;1544533;233;18ii
90004585;VILJANDI HAIGLA SIHTASUTUS;1539573;894;18i
70000740;HARIDUS- JA TEADUSMINISTEERIUM;1537281;208;18i
12203636;MERKO EHITUS EESTI AS;1530763;308;18i
90006590;TALLINNA LASTEHAIGLA SIHTASUTUS;1529645;825;18iv
74000174;EESTI PANK;1524129;341;18i
11488826;DANSKE BANK A/S EESTI FILIAAL;1508726;325;18i
70000740;HARIDUS- JA TEADUSMINISTEERIUM;1505412;227;18iii
10281968;NG INVESTEERINGUD OÜ;1505329;9;18ii
10528765;VKG OIL AS;1500733;694;18ii
10528765;VKG OIL AS;1497412;672;18iv
